Previous,Anterior
"You got a new comment for your review at %store_name","Has recibido un nuevo comentario por tu opinión en %store_name"
"Someone has commented on the review you wrote for %product_name.","Alguien te ha dejado un comentario en la opinión que escribiste para %product_name."
"You can check the comment and reply here: %url","Puedes revisar el comentario y responderle en este enlace: %url"
"Thank you for reviewing %product_name","Gracias por opinar sobre %product_name"
"on %store_name","en %store_name"
"Thanks %nickname,","Gracias %nickname,"
"Your latest customer review is live on  %store_name. We and all shoppers on %store_name appreciate the time you took to share your experience with this item.","Tu opinión ha sido publicada en %store_name. Nosotros y todos los clientes de %store_name agradecemos el tiempo que has tomado para compartir tu experiencia con este producto."
"Write Your Own Review","Escribe tu Opinión"
"Read more","Leer más"
"Intenso Reviews","Intenso Reviews"
Configuration,Configuración
About,"Acerca de"
Version,Versión
Documentation,Documentación
General,General
"Moderate Reviews Submitted by Guest Users","Moderar Opiniones Enviadas por Usuarios No Registrados"
"Moderate Reviews Submitted by Customers","Moderar Opiniones Enviadas por Usuarios Registrados"
"Moderate Comments Submitted by Guest Users","Moderar Comentarios Enviados por Usuarios No Registrados"
"Moderate Comments Submitted by Customers","Moderar Comentarios Enviados por Usuarios Registrados"
"Number of Reviews in Product Page","Número de Opiniones en la Página de Producto"
"Please enter a number 1 or greater in this field.","Por favor introduzca 1 o un número mayor en este campo."
"Number of Words for Preview","Número de Palabras en la Pre-visualización"
"Limit the number of words to display before the ""Read more"" link. Enter 0 for unlimited.","Limita el número de palabras a ser mostradas antes del enlace ""Leer más"". Introduzca 0 para mostrar la opinión completa."
"Display Rating Summary Popover on Hover","Mostrar Popup con Resumen de Valoraciones"
"If enabled, a small popover box displays the rating and reviews summary for each product on catalog pages","Al habilitarlo, un pequeño popup con un resumen de las valoraciones se muestra al pasar el ratón por encima de las estrellas."
"Spam Protection","Protección Anti-Spam"
"Enable Spam Protection","Habilitar Protección Anti-Spam"
"If enabled, all reviews and comments are filtered by the Akismet anti-spam filter","Al habilitarlo, todas las opiniones y comentarios son revisados por el filtro anti-spam de Akismet"
"Akismet API Key","Akismet API Key"
"Sign up at <a href=""https://akismet.com/"" target=""_blank"">https://akismet.com/</a> to get your API key","Regístrese en <a href=""https://akismet.com/"" target=""_blank"">https://akismet.com/</a> para obtener su API key"
"Validate API Key","Validar API Key"
"Store Owner Notifications","Notificaciones para el Administrador"
"Send Emails To","Enviar Emails A"
"Email Sender","Remitente"
"New Review Notification","Notificación de Nueva Opinión"
"If enabled, an email is sent to the store owner when a new review is posted","Al habilitarlo, un correo es enviado al administrador de la tienda cuando un usuario escribe una opinión"
"New Review Notification Template","Plantilla de Email para Nueva Opinión"
"New Comment Notification","Notificación de Nuevo Comentario"
"If enabled, an email is sent to the store owner when a new comment is posted","Al habilitarlo, un correo es enviado al administrador de la tienda cuando un usuario escribe un comentario"
"New Comment Notification Template","Plantilla de Email para Nuevo Comentario"
"Customer Notifications","Notificaciones a los Clientes"
"Enable Review Published Notification","Habilitar Notificación al Publicar una Opinión"
"If enabled, an email is sent to the reviewer when the review has been published.","Al habilitarlo, un correo es enviado al cliente cuando su opinión ha sido publicada."
"Review Published Template","Plantilla de Email para Opinión Publicada"
"Enable Review Comment Notification","Habilitar Notificación al Recibir Nuevo Comentario"
"If enabled, an email is sent to the reviewer when another user leaves a comment on his/her review.","Al habilitarlo, un correo es enviado al cliente cuando otro usuario deja un comentario en su opinión."
"Review Comment Template","Plantilla de Email para Nuevo Comentario"
"Mail After Purchase","Recordatorio de Opinión"
"Enable Mail After Purchase","Habilitar Recordatorio de Opinión"
"If enabled, an email is automatically sent to your customers a certain number of days after they have made their purchases.","Al habilitarlo, un recordatorio es enviado automáticamente a los clientes luego de transcurrido un cierto número de días desde su compra."
"Mail After Purchase Threshold","Dias Despues de Finalizada la Orden"
"This is the number of days the system will wait until sending the Mail After Purchase. 14 days is the recommended threshold.","Este es el número de días que esperará el sistema antes de enviar el recordatorio solicitado una opinión. 14 días es el lapso recomendado."
"Max Number of Emails","Número Máximo de Emails"
"Set the maximum number of emails sent for orders with multiple products.","Establezca el máximo numero de email a ser enviados para órdenes que contengan varios productos."
"Mail Interval","Intervalo Entre Emails"
"Set the number of days between the sending of each subsequent email for orders with multiple products.","Establece el número de días a transcurrir entre el envío de cada email para órdenes que contienen varios productos."
"Sort Order","Orden"
"Choose to request a review for the most expensive product first, or the product with the least reviews, in orders with multiple products. The 2nd email request will be for the second most expensive product and so on.","Solicite primero una opinión para el producto más costoso, o el producto con menos opiniones en pedidos con varios productos. El segundo email sería para el segundo producto más costoso y así sucesivamente."
"Mail After Purchase Template","Plantilla de Email para el Recordatorio de Opinión"
"Send Test","Enviar Email de Prueba"
"Verified Purchase Badge","Insignia de Compra Verificada"
"Enable Verified Purchase Badge","Habilitar Insignia de Compra Verificada"
"If enabled, a ""Verified Purchase"" badge is displayed on the review when the customer has bought the product on your store.","Al habilitarse, una insignia de ""Compra Verificada"" es mostrada en las opiniones de clientes que han comprado el producto en tu tienda."
"Please write a review","Por favor escriba su opinión"
"If enabled, the total number of reviews for a product is displayed next to the rating stars on catalog pages","Al habilitarlo, el número total de opiniones para el producto se muestra junto a las estrellas de valoración en la página de catalogo"
"Add Photos","Agregar Fotos"
"Customer Photos","Fotos del Cliente"
"This review doesn’t include photos","Esta opinión no incluye fotos"
"If enabled, customers will be able to upload up to 5 photos alongside their reviews","Al habilitarlo, los clientes podrán adjuntar fotos a sus opiniones"
"Store Owner Comment","Comentario de la Tienda"
"Public","Público"
"Private","Privado"
"%store_name received your review on ""%product_name"" and replied:","%store_name ha recibido su opinión sobre ""%product_name"" y ha respondido:"
"Thanks again for the review, and we hope to see you again soon!","Gracias de nuevo por su opinión, esperamos verle de nuevo muy pronto!"
"Store Owner Comments","Comentarios de la Tienda"
"Name","Nombre"
"Choose the name that will be displayed next to your public comments (e.g. your store name)","Seleccione el nombre que sera mostrado junto a sus comentarios (ej. el nombre de su tienda)"
"Display Your Comments in Expanded Mode","Mostrar Sus Comentarios en Modo Expandido"
"If enabled, your comments will be visible below the review without clicking the ""Comments"" link.","Al habilitarlo, sus comentarios serán visibles bajo la opinión del cliente sin tener que hacer clic en el enlace de ""Comentarios""."
"Store Owner Comment Email Template","Plantilla de Email para los Comentarios de la Tienda"
