Column1,Column2,Column 3,Column 4
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 ""%2""属性に基づくカート価格ルールは無効化されました。",module,Magento_SalesRule
%1 Item,%1 アイテム,module,Magento_Catalog
%1 Item(s),%1 アイテム,module,Magento_Theme
%1 Items,%1 アイテム,module,Magento_Catalog
%1 RMA (s) have been closed.,%1 RMA 閉じられました,,
%1 RMA(s) cannot be closed,%1 RMA　閉じることができません,,
%1 Review(s),%1 レビュー,module,Magento_Review
%1 Reward points,%1 ポイント,,
%1 Reward points (%2),%1 ポイント (%2),,
%1 [%2],%1 [%2],,
%1 and above,%1 以上,module,Magento_Catalog
%1 and greater,%1 とそれ以上,module,Magento_CatalogSearch
%1 cache type(s) disabled.,%1 cacheタイプが無効,module,Magento_Backend
%1 cache type(s) enabled.,%1 cacheタイプが有効,module,Magento_Backend
%1 cache type(s) refreshed.,%1 cacheタイプが更新,module,Magento_Backend
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 クラスは \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface　を実装していません,,
%1 class doesn't implement \Magento\Payment\Model\MethodInterface,%1 クラスは、\Magento\Payment\Model\MethodInterface を実用していません,module,Magento_Payment
%1 coupon(s) have been generated.,%1 クーポンが作成されました,module,Magento_SalesRule
%1 does not contain field '%2',%1はフィールド'%2'を含みません,module,Magento_Theme
%1 does not contain field 'file',%1はフィールド'file'を含みません,module,Magento_Theme
%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface,%1 は \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface　拡張できません,module,Magento_Catalog
%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice,%1 は \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice　を拡張できません。,module,Magento_Catalog
%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface,%1 は \Magento\Checkout\CustomerData\ItemInterface を拡張しません。,module,Magento_Checkout
%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface,%1 は \Magento\Customer\CustomerData\SectionSourceInterface　を展開しません。,module,Magento_Customer
%1 doesn't extend \Magento\Framework\Filter\Template,%1 は \Magento\Framework\Filter\Template　を拡張できません。,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter,%1 は \Magento\Catalog\Model\Layer\Filter\AbstractFilter　拡張しません,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType,%1 は \Magento\Catalog\Model\Product\Option\Type\DefaultType　を拡張しません。,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType,%1 は \Magento\Catalog\Model\Product\Type\AbstractType　を拡張できません。,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price,%1 は \Magento\Catalog\Model\Product\Type\Price　を拡張できません。,module,Magento_Catalog
%1 doesn't extends \Magento\Framework\Model\AbstractModel,%1 は \Magento\Framework\Model\AbstractModel　拡張しません,module,Magento_Catalog
%1 doesn't implement SortInterface,%1 は SortInterface　を実装していません,,
%1 email(s) were sent.,%1 件のメールを送信しました,,
"%1 for ""%2""","""%2""のための%1",,
"%1 for ""%2"".","""%2"" のための %1",module,Magento_Wishlist
%1 for %2,%2 のための %1,module,Magento_Sales
%1 for item %2 cannot be empty.,商品%2の%1は空ではありません。,,
%1 has been added to your Wish List.,%1お気に入りに追加されました。,module,Magento_Wishlist
%1 has been moved to your wish list.,%1 はお気に入りに移動されました。,module,Magento_Wishlist
%1 has been updated in your Wish List.,%1 はお気に入り一覧を更新されました。,module,Magento_Wishlist
%1 has reached a quantity of %2.,%1 は %2 の量に達しました,module,Magento_Catalog
%1 index is locked by another reindex process. Skipping.,%1インデックスは別の再インデックスプロセスによってロックされています。スキップします。,module,Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 インデックス処理 は""Update by Schedule""モードです。",module,Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.","%1iインデックス処理は""Update on Save""モードです。",module,Magento_Indexer
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.",こちらのメールアドレスに対して会員アカウントが既に存在するため、%1個の招待状が送信されませんでした。,,
%1 is available to buy in increments of %2,%1 は %2 の単位で購入できます。,module,Magento_CatalogInventory
%1 is not a correct comparison method.,%1 は正しい比較方法ではありません。,module,Magento_CatalogInventory
%1 is required.,%1 is は必須です。,,
%1 item(s) have been added to the gift registry.,%1商品がギフトレジストリに追加されました。,,
%1 item(s) need your attention.,注意が必要な商品が%1あります。,,
%1 items,%1 商品,module,Magento_Catalog
%1 items are already present in %2: %3.,%1の商品はすでに%2：%3にあります。,,
%1 items cannot be moved: %2.,%1 商品は移動できません: %2.,,
%1 items in wish list,%1商品は欲しいものリストにあります,,
%1 items were copied to %2: %3.,%1個の商品が%2：%3にコピーされました。,,
%1 items were moved to %2: %3.,%1個の商品が%2：%3に移動されました。,,
%1 order(s) cannot be canceled.,%1 注文がキャンセルできません,module,Magento_Sales
%1 order(s) have been released from on hold status.,%1 注文が保留状態からリリースされました,module,Magento_Sales
%1 order(s) were not put on hold.,%1 注文が保留になりませんでした。,module,Magento_Sales
%1 order(s) were not released from on hold status.,%1 注文は保留状態からリリースされていません,module,Magento_Sales
%1 product requires your attention.,%1商品に注意が必要です。,,
%1 product(s) have been added to shopping cart: %2.,%1 個のアイテムがショッピングカートに追加されました: %2.,module,Magento_Wishlist
%1 products require your attention.,%1商品に注意が必要です。,,
%1 spent = %2 earned,%1 消費 = %2 獲得,,
%1 store reward points available,%1店舗の特典ポイントが利用可能です,,
%1 store reward points available (%2),%1店舗の特典ポイントが利用可能です (%2),,
%1 was deducted because of refund.,払い戻しのため%1が差し引かれました。,,
%1 was updated in your shopping cart.,ショッピングカートの中で %1 が更新されました。,module,Magento_Checkout
%1 with %2 discount each,%1 と %2 で各ディスカウント,module,Magento_Sales
%1 x %2,%1 x %2,module,Magento_Bundle
%1's Wish List,%1 のお気に入り一覧,module,Magento_Wishlist
%1's Wish List (%2),%1さんのお気に入り一覧(%2),,
%1's Wishlist,%1 のお気に入り一覧,module,Magento_Wishlist
%customer_name wants to share this Wish List from %store_name with you:,%customer_nameさん が、Foula Storeのお気に入りリストを共有しました。,module,Magento_Wishlist
"%customer_name,","%customer_name様,",theme,frontend/Magento/luma
%inviter_name invites you to join Private Sales Site,%inviter_nameはあなたをプライベートセールスサイトにご招待します,,
"%name,","%name,",theme,frontend/Magento/luma
%operation_name - Scheduled Export Failed,%operation_name - スケジュールされたエクスポートに失敗しました,,
%operation_name - Scheduled Import Failed,%operation_name - スケジュールされたインポートに失敗しました,,
%s SKU(s) processed successfully,%s SKUが正常に処理されました,,
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%senderがあなたに<a href=""%store_url"">%store_name </a>で使用するギフトカードを送信しました。これで、購入の際利用できるようになりました。",,
%sender_name wants to share this product with you:,%sender_name は、この商品をあなたと共有したい。,module,Magento_SendFriend
%store_name,%store_name,,
%store_name  - Scheduled Import Failed,%store_name  - スケジュールされたインポートに失敗しました,,
%store_name - Scheduled Export Failed,%store_name - スケジュールされたエクスポートに失敗しました,,
%store_name : New Return #%increment_id,%store_name : 新しい戻り値 #%increment_id,,
%store_name offers limited time sales of products only to members.,%store_name は限定時間セールをメンバーにのみおこないます。,,
%store_name:  New customer comment,%store_name:  新規会員のコメント,,
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1",,
'%1' file extension is not supported,'%1'ファイル拡張子はサポートされていません,,
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.",'%value%' はDNSホストネームのようですが渡されたピューニーノーテーションは解読できません,,
'%value%' does not look like a valid local network name.,'%value%'は有効なローカルネットワーク名ではありません,,
%value%' looks like a DNS hostname but cannot extract TLD part.,'%value%'はDNSホストネームのようですがTLD部分を抽出できません,module,Magento_Customer
'%value%' looks like a DNS hostname but contains a dash in an invalid position.,'%value%'はDNSホストネームのようですがダッシュが不正な位置にあります,,
'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,"'%value%' はDNSホストネームのようですがTLD '%tld%'のホストネームスキーマにマッチできません
'%value%' looks like a DNS hostname but cannot extract TLD part.""",,
"'%value%' looks like a local network name, which is not an acceptable format.",'%value%' はローカルホストネームのようですが受けれられるフォーマットではありません。,,
"'%value%' looks like an IP address, which is not an acceptable format.",'%value%'はIPアドレスのようですが適切なフォーマットではありません,,
'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.,'*' - すべてにマッチ; 'xyz*' - 'xyz'で始まるものすべて、そして%1の長さ以下,,
'Object is not instance of ' .,'オブジェクトはインスタンスではありません ' .,,
'There is no defined type ' .,'定義された型はありません' .,,
(Allow),(許可),,
(Copy data from: %1),(データのコピー元: %1),module,Magento_Catalog
(Deny),(拒否),,
(Excl. Tax),(税別),module,Magento_Tax
(Incl. Tax),(税込),module,Magento_Tax
(now),(現在),,
* - Enter custom price excluding tax,* - 税別のカスタム価格を入力,module,Magento_Sales
* - Enter custom price including tax,* - 税込みのカスタム価格を入力,module,Magento_Sales
* Required Fields,* 必須項目,module,Magento_Bundle
* applicable to visitors and registered customers,* 訪問者および登録会員に適用される,,
-- All --,-- すべて --,,
-- First Please Select a Website --,-- 最初にウェブサイトを選択してください --,,
-- No Theme --,-- テーマなし --,module,Magento_Config
-- None --,-- なし --,,
-- Please Select --,-- 選択してください --,module,Magento_Backend
-- Please Select Billing Agreement--,-- 支払合意を選択してください--,module,Magento_Paypal
-- Please Select a Category --,-- カテゴリを選択してください --,module,Magento_Catalog
-- Please select --,-- 選択してください --,module,Magento_Backend
-- Select --,--選択してください--,module,Magento_Bundle
--Please Select--,--選択してください--,module,Magento_Braintree
.,。,module,Magento_Config
. ':',.':',,
1 Day Freight,翌日配達,module,Magento_Fedex
1 Hour,1時間,module,Magento_AdminNotification
1 column,1カラム,module,Magento_Theme
1 item,1 商品,module,Magento_Catalog
1 item in wish list,お気に入り一覧に1件があります,,
10 minutes,10 分,,
12 Hours,12時間,module,Magento_AdminNotification
12h AM/PM,12時間表記,module,Magento_Catalog
15 minutes,15 分,,
2 Day,2 営業日,module,Magento_Fedex
2 Day AM,2 営業日午前,module,Magento_Fedex
2 Day Freight,2営業日配達,module,Magento_Fedex
2 Hours,2時間,module,Magento_AdminNotification
2 columns with left bar,2カラム左ナビ付き,module,Magento_Theme
2 columns with right bar,2カラム右ナビ付き,module,Magento_Theme
2-pixel perimeter around the header space.,ヘッダースペースの周囲2ピクセル,module,Magento_Paypal
20 minutes,20 分,,
200 OK,200 OK,,
24 Hours,24時間,module,Magento_AdminNotification
24h,24時間,module,Magento_Catalog
2YTD,2年間,module,Magento_Backend
2nd Day Air,セカンドデーエアー,module,Magento_Ups
2nd Day Air AM,セカンドデーエアー AM,module,Magento_Ups
2nd Day Air AM Letter,セカンドデーエアー AM レター,module,Magento_Ups
2nd Day Air Letter,セカンドデーエアーレター,module,Magento_Ups
3 Day Freight,3営業日配達,module,Magento_Fedex
3 Day Select,スリーデーセレクト,module,Magento_Ups
3 columns,3カラム,module,Magento_Theme
30 minutes,30 分,,
3D Secure Verification,3Dセキュア認証,module,Magento_Braintree
3D Secure Verification Settings,3Dセキュア認証設定,module,Magento_Braintree
5 minutes,5 分,,
503 Service Unavailable,503 サービス利用不可,,
6 Hours,6時間,module,Magento_AdminNotification
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1""onclick=""this.target='blank'"">%2 %3</a><a href=""mailto:%4""> (%4)</a>",module,Magento_Review
"<a href=""%1"">Learn more</a>.","<a href=""%1"">更に詳細</a>.",module,Magento_Cookie
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","こちらの通知から<a href=""%unsubscription_url"">登録解除</a>する。",,
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",theme,frontend/Magento/luma
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts",<b>重要</ b>：「自動生成を使用する」を選択すると、このルールは放棄されたカートの自動電子メールリマインダールールでは使用されなくなります,,
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>",module,Magento_Backend
"<label class=""label""><span>from</span></label>","<label class=""label""><span>から</span></label>",module,Magento_Catalog
"<label class=""label""><span>to</span></label>","<label class=""label""><span>まで</span></label>",module,Magento_Catalog
<pre> %1 </pre>,<pre> %1 </pre>,module,Magento_Email
"<span class=""label"">Order Date:</span> %1","<span class=""label"">注文日:</span> %1",module,Magento_Sales
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span id = ""sku-attention-num"">%1</span>商品に注意が必要です。</span>",,
<span>Item %1</span> of %2,<span>個別商品 %1</span> の %2,module,Magento_GiftMessage
<strong>%1 item</strong> were found using the following search criteria,<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました,module,Magento_CatalogSearch
<strong>%1 items</strong> were found using the following search criteria,<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました,module,Magento_CatalogSearch
<strong>Attention</strong>: Captcha is case sensitive.,<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。,module,Magento_Captcha
A PDF object is not specified.,PDFオブジェクトが指定されていません,module,Magento_Sales
A PDF page object is not specified.,PDFページオブジェクトが指定されていません,module,Magento_Sales
A block identifier with the same properties already exists in the selected store.,選択した店舗には同じブロック識別子のブロックが存在しています。,module,Magento_Cms
A case that has been resolved and close requires a reimbursement.,解決して終了した案件は、払い戻しが必要となります。,module,Magento_Paypal
A class with the same name already exists for ClassType %1.,同じ名前のクラスがクラスタイプ %1　に存在します,module,Magento_Tax
A consumer having the specified key does not exist,指定されたキーを持つ会員は存在しません,module,Magento_Integration
A consumer with the ID %1 does not exist,ID %1の会員は存在しません,module,Magento_Integration
A creditmemo can not be created when an order has a status of %1,オーダーのステータスが%1の場合、クレジットメモを作成することはできません,,
A fieldset with the same code alredy exists.,同じコードを持つフィールドセットはすでに存在します。,,
A group with the same name already exists.,同じ名前のグループが既に存在しています。,module,Magento_Catalog
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.",グループ化された商品は、グループとして提示される複数のスタンドアロン商品で構成されています。 1つの商品のバリエーションを提供することも、シーズンやテーマ別にグループ化してコーディネートされたセットを作成することもできます。各商品は個別に、またはグループの一部として購入することができます。,,
A hold action is not available.,保留アクションがはありません,module,Magento_Sales
A joined field with this alias is already declared.,このエイリアスの結合フィールドは常に宣言されています,module,Magento_Eav
A letter with further instructions will be sent to your email.,詳細がメールに届きます。,module,Magento_Checkout
A login and a password are required.,ログインとパスワードは必須です。,module,Magento_Customer
"A match of the Shipping Address City, State, and Postal Code failed.",配送先住所の市、県、郵便番号が一致しませんでした。,module,Magento_Paypal
A name is required.,名前は必須です。,module,Magento_Catalog
A payer is not identified.,支払人が特定されていません。,module,Magento_Paypal
A positive or negative non-decimal number please,正または負の非10進数の数値を入力してください。,module,Magento_Ui
A product type is not defined for the indexer.,商品種別はインデックス処理で未定義です。,module,Magento_Catalog
A quantity of %1 is greater than you can return.,%1の数量は返すことができません。,,
A quantity you're trying to add exceeds the number of products we shipped.,追加しようとしている数量が、出荷された商品の数を超えています。,,
A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.,会員の不正な偽装の疑惑の異議のためにこのトランザクションの破棄が発生しました。,module,Magento_Paypal
A reversal has occurred on this transaction because you have given the customer a refund.,会員に返金を行なったためにこのトランザクションで破棄が発生しました。,module,Magento_Paypal
A reversal has occurred on this transaction due to a chargeback by your customer.,会員による入金取り消しのためこのトランザクションで破棄が発生しました。,module,Magento_Paypal
A reversal has occurred on this transaction due to a complaint about the transaction from your customer.,会員からのトランザクションに対するクレームがあったため、このトランザクションで破棄が発生しました。,module,Magento_Paypal
A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.,会員がマネーバック保証を実行したのでこのトランザクションで破棄が発生しました。,module,Magento_Paypal
"A row with this email, website, and finance website combination already exists.",このメール、ウェブサイト、および財務のウェブサイトの組み合わせの行は既に存在します。,,
A shipment cannot be created when an order has a status of %1,オーダーのステータスが％1の場合、出荷を作成できません,,
A shipping selection is not applicable.,発送方法は適用されません。,module,Magento_Multishipping
A token with consumer ID %1 does not exist,会員ID %1 のトークンは存在しません,module,Magento_Integration
A token with consumer ID 0 does not exist,会員ID 0のトークンは存在しません,module,Magento_Integration
A total of %1 record(s) have been deleted.,合計 %1 レコードが削除されました。,module,Magento_Catalog
A total of %1 record(s) have been disabled.,合計 %1 レコードが無効化されました。,module,Magento_Cms
A total of %1 record(s) have been enabled.,合計 %1 レコードが有効化されました。,module,Magento_Cms
A total of %1 record(s) have been marked as Read.,合計%1件のレコードが既読になりました,module,Magento_AdminNotification
A total of %1 record(s) have been updated.,合計 %1 レコードが更新されました。,module,Magento_Catalog
A total of %1 record(s) were deleted.,合計 %1のレコードが削除されました。,module,Magento_Customer
A total of %1 record(s) were updated.,合計 %1 のレコードが更新されました。,module,Magento_Catalog
A total of %1 synonym group(s) have been deleted.,合計％1の同義語グループが削除されました。,module,Magento_Search
A user with the same user name or email already exists.,同じユーザーネームかメールアドレスをお持ちのユーザーが既に存在します。,module,Magento_User
A wrong PayPal Express Checkout Token is specified.,誤ったPayPalエクスプレスチェックアウトトークンが指摘されました。,module,Magento_Paypal
ACH Deposit (Hold for Dispute or Other Investigation),ACH振り込み(異議申し立てのため保留か他の調査),module,Magento_Paypal
ACH Deposit (Reversal),ACH振り込み(破棄),module,Magento_Paypal
ACH Funding for Funds Recovery from Account Balance,ACHアカウント残高からのファンド回復のためのACHファンディング,module,Magento_Paypal
ACH Withdrawal,ACH引き落とし,module,Magento_Paypal
ALL,全て,module,Magento_Catalog
ALL GROUPS,全てのグループ,module,Magento_Catalog
AM,AM,module,Magento_Catalog
ANY,いずれか,module,Magento_Backend
API,API,module,Magento_Integration
API Authentication Methods,API 権限メソッド,module,Magento_Paypal
API Certificate,API証明書,module,Magento_Paypal
API Login ID,APIログインID,module,Magento_Authorizenet
API Password,API パスワード,module,Magento_Paypal
API Signature,API署名,module,Magento_Paypal
API Username,API ユーザー名,module,Magento_Paypal
API Uses Proxy,APIはプロキシーを使用します,module,Magento_Paypal
API interfaces reflection data,APIインターフェースリフレクションデータ,module,Magento_Store
ASCII,ASCII,,
AVS Response,AVS レスポンス,module,Magento_Authorizenet
AVS Street Does Not Match,AVS番地がマッチしません,module,Magento_Paypal
AVS Street Match,AVS番地合致,module,Magento_Paypal
AVS Zip Does Not Match,AVS郵便番号がマッチしません,module,Magento_Paypal
AVS result code,AVSリザルトコード,,
AVS zip,AVS郵便番号,module,Magento_Paypal
Abandoned Cart,放置されたカート,module,Magento_Reports
Abandoned Carts,無効になったショッピングカート,module,Magento_Reports
Abandoned carts,無効になったショッピングカート,module,Magento_Reports
Ability for buyer to purchase without PayPal account.,PayPalアカウントなしで購入者に購入を行わせる,module,Magento_Paypal
About Your Invoice,お支払について,module,Magento_Sales
About Your Order,ご注文について,module,Magento_Sales
About Your Refund,ご返金について,module,Magento_Sales
About Your Shipment,荷物配送状況について,module,Magento_Shipping
About the calendar,カレンダーについて,module,Magento_Backend
Accept Payment,支払受付,module,Magento_Sales
Accept Rate,受け入れ率,,
Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.,"あなたのMagentoストアでクレジットカード/デビットカードとPayPalを受け入れます。<br/>セットアップや月額料金はなく、会員は購入手続きを完了するために別サイトに移動する必要はありません。
Accept or Deny Payment""",,
Accept or Deny Payment,支払受け入れまたは拒否,module,Magento_Sales
Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>),あなたのサイトに会員を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）,,
Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>),あなたのサイトに会員を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）,,
Accept payments with a completely customizable checkout page.,完全にカスタマイズできるチェックアウトページの支払を受付,module,Magento_Paypal
Acceptance Mark,許可マーク,module,Magento_Paypal
Acceptance Mark Image,受領マーク画像,module,Magento_Paypal
Accepted,承認済,,
Accepted Currency,支払可能通貨,module,Magento_Authorizenet
Accepted and Purchased,承認と購入,,
Access Denied.,アクセス拒否,module,Magento_Backend
Access ID,アクセスID,module,Magento_Dhl
Access Key,アクセスキー,,
Access License Number,アクセスライセンス番号,module,Magento_Ups
Access Restriction,アクセス制限,,
Access Token,アクセストークン,module,Magento_Integration
Access Token Secret,アクセストークンの秘密,module,Magento_Integration
Access list,リストにアクセス,module,Magento_PageCache
Access token has been revoked,アクセストークンは破棄されました,module,Magento_Integration
Account,アカウント,module,Magento_Theme
Account &amp; Shipping Information,アカウントと出荷情報,,
Account Activity,アカウントアクティビティ,module,Magento_Security
Account Created in,アカウント作成日,module,Magento_Customer
Account Created in:,作成されたアカウント:,module,Magento_Customer
Account Created on (%1):,作成されたアカウント（%1）：,module,Magento_Customer
Account Created:,アカウント作成:,module,Magento_Customer
Account ID,アカウントID,module,Magento_Fedex
Account Information,アカウント情報,theme,frontend/Magento/luma
Account Lock,アカウントロック,module,Magento_Customer
Account Lock:,アカウントロック:,module,Magento_Customer
Account Number,アカウント番号,module,Magento_Dhl
Account Setting,アカウント設定,module,Magento_Backend
Account Sharing Options,アカウント設定オプション,module,Magento_Customer
Account Status,アカウントステータス,module,Magento_User
Account type,アカウントタイプ,,
"Account-to-Account Payment, initiated by PayPal","アカウント間の支払, PayPal主導",module,Magento_Paypal
Action,アクション,module,Magento_Backup
Action Group,アクショングループ,,
Action Log,アクションログ,,
Actions for Acquiring Reward Points by Customers,会員がポイントを獲得するアクション,,
Activate,有効化,module,Magento_Integration
Active,アクティブ,module,Magento_CatalogRule
Actual Children Count,実際の子供の数,,
Actual Level,実際のレベル,,
Actual Price,実績価格,module,Magento_Msrp
Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource,アダプターは \Magento\ImportExport\Model\Import\AbstractSource のインスタンスでなければなりません,module,Magento_ImportExport
Add,追加,module,Magento_Config
Add All To Gift Registry,ギフトレジストリにすべて追加,,
Add All to Cart,すべてをカートに入れる,module,Magento_Wishlist
Add Amount,額を追加,,
Add Attribute,属性の追加,module,Magento_Catalog
